Document Type,Provider,AHCA Case Number,Formal/Informal Case Number,Date_Rendered
Settlement Agreements,"""Angie"" Home Health Care Inc",2006003223,06-135PH,9/22/2006
Settlement Agreements,"""We Are A Helping Hand"" Inc",2025003692,25-186PH,4/28/2025
Defaults and Dismissals,#1 Home Care Services LLC,2024012920,24-550PH,12/16/2024
Settlement Agreements,#1 Home Care Services LLC,2024015258,24-664PH,3/3/2025
Settlement Agreements,#1 Home Care Services LLC,2022001319,22-071PH,3/7/2022
Settlement Agreements,#1 Home Care Services LLC,2022016613,22-593PH,2/6/2023
Defaults and Dismissals,#1 RX Liberty Pharmacy Discount Corp,CI 14-1487-000,,10/23/2014
Defaults and Dismissals,#1 RX Liberty Pharmacy Discount Corp,CI 11-3257-000,,8/30/2011
Defaults and Dismissals,(A.P.B.) iBudget Waiver Services,2022003351,,4/27/2022
Recommended Orders,@ Home Healthcare,2009012054,09-1051PH,7/16/2010
Settlement Agreements,@ Home Senior Care,2011010537,11-5943,1/23/2012
Defaults and Dismissals,@ Home Senior Care MSL,2012001534,12-120PH,9/7/2012
Settlement Agreements,@Home Healthcare,2012001255,12-163PH,4/16/2013
Defaults and Dismissals,@Home Peace Of Mind LLC,2022000725,,2/28/2022
Defaults and Dismissals,` Heritage Park,NH14-125C,,7/5/2016
Defaults and Dismissals,1 AAA Assisted Living at Wellington,2019002144,,11/3/2020
Settlement Agreements,1 Kind Home Inc,2022002706,22-129PH,5/19/2022
Defaults and Dismissals,1 Medical Services Inc,CI 97-0645-002,,6/18/2004
Defaults and Dismissals,1 Nation Medical Group LLC,2019014431,,10/24/2019
Defaults and Dismissals,1 Stop Care Agency Inc,2020001761,20-105PH,8/25/2020
Defaults and Dismissals,1 Stop Medical Staffing Inc,"2010001337, 2010001338",,8/6/2010
Recommended Orders,1 Stop Medical Staffing Inc,2010005755,10-428PH,1/31/2011
Defaults and Dismissals,1 Stop Medical Staffing Inc,2010001476,10-118PH,4/1/2011
Defaults and Dismissals,1 Village 1 Child,2017-0007907,,10/2/2018
Defaults and Dismissals,1 Village 1 Child,2017-0007908,,10/2/2018
Defaults and Dismissals,1 Village 1 Child,2016-0005624,,9/6/2016
Defaults and Dismissals,1 Village 1 Child,2016-0005623,,9/6/2016
Defaults and Dismissals,1 Zource Corporation,2015-0005503,,2/4/2016
Settlement Agreements,1 Zource Corporation,2011009482,11-750PH,2/10/2012
Settlement Agreements,1 Zource Corporation dba 1 Zource Living Care,2010007206,11-02PH,4/27/2011
Settlement Agreements,1 Zource Living Care,2021003101,,5/3/2021
Settlement Agreements,1 Zource Living Care,2020018156,21-005PH,2/18/2021
Defaults and Dismissals,1 Zource Living Care,2021013255,,12/17/2021
Defaults and Dismissals,10040 Hillview Road Operations LLC,"CI 15-0367-000, 2015-0000801",,9/8/2015
Defaults and Dismissals,101 Mobility,2019002647,19-117PH,10/24/2019
Settlement Agreements,101 Mobility Of Tampa,2013009199,13-454PH,1/17/2014
Settlement Agreements,1017 N Olive LLC,2025005063,25-276PH,7/28/2025
Defaults and Dismissals,107th Place,DD13-019C,,4/24/2014
Defaults and Dismissals,119th St Grp Home #11,"2018017351, DD17-008C",,6/13/2019
Defaults and Dismissals,121 Medical Center LLC,2023006090,,1/16/2024
Defaults and Dismissals,12170 Cortez Boulevard Operations LLC,NH16869,,10/10/2014
Settlement Agreements,123 Special Care Kids PPEC LLC,2022004707,22-211PH,6/14/2022
Settlement Agreements,13455 Golden LLC,2017012924,,12/20/2017
